subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12
sub-10159 -43.9776 14.8281 -11.4719 -4.0409 61.9917 -13.4156 39.5094 -1.2587 21.2329 -20.7276 2.2688 -14.9925
sub-10171 23.5837 -2.9111 66.4842 5.5278 13.6902 20.7525 -1.851 -1.2717 -12.081 40.35 -26.8866 -4.071
sub-10189 -16.6092 -41.2447 14.1254 -25.6601 -31.2018 16.2043 -57.3264 -4.0332 9.8656 -10.0516 -51.4419 6.01
sub-10206 -4.6652 -65.011 -42.8452 29.7463 63.4361 25.3382 13.0462 -5.643 55.7947 -12.1307 -6.6562 -12.0735
sub-10217 -25.2645 -114.8608 15.5214 14.2953 -43.1877 -11.9946 -44.2148 -5.2126 -34.2721 19.4024 0.4452 -19.6645
sub-10225 -32.8216 -43.6703 38.6775 4.1765 -15.0401 -34.0189 12.1416 -5.3538 -12.8867 1.5341 -20.3305 -8.263
sub-10227 -46.882 14.6651 -35.5681 -22.0495 58.3087 -30.8674 1.4967 -19.4439 17.9882 24.5379 -29.4371 -22.9148
sub-10228 36.8849 62.3249 28.1218 -32.1956 -54.5459 -3.8738 11.0077 -1.021 -7.041 -7.0917 -12.7285 -0.9576
sub-10235 7.1303 -23.1138 4.1166 64.6041 40.5586 -51.6488 83.5941 15.0089 19.5729 -76.3534 28.972 18.7546
sub-10249 6.8453 1.3765 57.4536 -45.5259 54.5225 -7.2417 -22.9061 -17.5851 10.7508 4.1868 -10.5182 15.9957
sub-10273 -42.1628 15.7436 -35.8637 -42.1588 27.9954 -1.144 -22.9211 -33.6434 26.071 -11.6482 -24.9533 22.8034
sub-10274 -42.6018 -143.7936 79.129 -25.4356 31.0797 -36.7689 -10.8322 9.7791 -6.0308 -16.2881 5.5338 6.3888
sub-10280 -8.2513 -6.6825 10.8592 -9.2385 14.6946 27.9547 -29.9238 3.5138 32.0594 9.6923 -7.8175 -65.3483
sub-10290 34.5144 8.1842 27.9371 6.846 13.0553 13.789 14.5236 9.5526 16.9342 -8.4201 -32.9602 30.8917
sub-10292 0.4823 40.3129 9.1606 -27.2045 -8.3032 -4.3034 -2.4695 -18.0158 -1.9565 -17.6236 -1.3885 19.796
sub-10304 27.1083 -41.238 29.4697 74.6444 33.2872 -8.6906 38.7269 -44.8791 -10.8048 23.9659 3.9888 -37.2277
sub-10316 7.2451 -20.1627 85.6247 -14.3938 17.7659 -37.4247 46.2055 -22.6201 5.7303 -6.8746 27.5927 10.7921
sub-10321 16.9155 42.5296 -19.3895 13.4426 -4.8978 7.8111 29.7352 -1.0086 9.5292 -6.1598 25.7115 -11.4724
sub-10325 -24.5208 28.8674 -22.6324 -17.6109 5.9666 -6.9743 -12.6539 -1.8918 -4.9583 -7.0705 0.4238 29.0555
sub-10329 -17.7357 22.7534 -11.2682 -9.2492 17.1468 -16.4432 -4.8881 2.967 -3.8564 -4.6365 -5.1705 8.1259
sub-10339 15.7167 72.5302 28.2568 -24.0386 -60.912 4.1261 2.256 -7.947 -14.2881 -5.7435 -21.3122 7.5551
sub-10340 -23.3645 8.2601 -43.7561 2.5966 44.1097 19.1354 -20.529 -12.9335 27.9283 -15.6598 -17.5437 5.826
sub-10345 -25.576 -136.1964 -12.2534 -0.0064 -36.5561 27.672 -21.7876 -36.8912 26.2695 -7.419 -15.1985 -19.6655
sub-10347 -7.3809 48.5574 -18.6418 -27.3942 -21.6631 -6.5199 -9.3054 17.4912 -18.4615 23.8061 3.1185 0.2345
sub-10356 15.6625 49.1877 6.3134 23.5264 -13.9524 18.7786 5.1922 9.897 -23.1569 17.549 40.4073 13.2043
sub-10365 -48.5986 -31.8393 34.5921 20.5325 117.788 -34.9712 21.5915 17.7316 20.0227 71.9318 -40.3518 -104.2033
sub-10376 14.0493 13.1576 15.89 26.8881 11.9744 25.6026 14.5928 7.5218 -27.784 -30.6728 32.7977 13.2827
sub-10377 6.7166 33.9117 1.0331 9.1289 64.9022 -5.7394 24.1266 -7.311 26.3325 -7.5867 8.323 -4.8021
sub-10388 35.5326 1.1865 -37.2084 51.0306 -9.8944 116.3368 0.9173 -3.8453 1.5678 20.6289 25.556 -39.7464
sub-10438 -5.9253 14.4174 -26.6439 39.3578 29.0182 26.6747 -17.154 17.2442 24.0957 -15.4607 9.1832 -5.086
sub-10440 1.5794 -11.487 -60.7551 46.8718 16.0067 11.9383 12.9399 6.3492 37.0406 13.4757 2.3284 -28.9364
sub-10448 12.2266 -27.226 17.7358 17.4728 -23.697 -17.5972 3.9235 21.7593 7.0653 18.9048 9.7409 -66.6207
sub-10455 88.9257 -39.1236 63.4506 35.466 66.725 17.7809 -50.7403 -16.3339 37.029 -3.5986 51.2408 -25.5523
sub-10460 103.0607 21.5243 -4.1659 27.3394 -25.1604 1.6715 0.3654 21.577 17.0929 -26.3258 11.4059 -17.505
sub-10471 -15.8204 53.1174 -13.7412 2.8281 -8.2427 -21.9219 31.4482 7.7019 -23.0033 2.2366 1.1477 -2.7093
sub-10478 -31.8755 14.8339 19.9523 -67.8677 26.9907 -23.8028 -35.2507 -21.4536 15.4545 14.7589 -10.1546 -27.3147
sub-10487 58.0519 -1.0316 37.3813 18.9047 -0.4169 -9.5523 40.3596 3.2684 27.6232 -19.5584 -8.6223 11.5929
sub-10492 -38.0737 33.9873 -50.5388 -14.6232 5.2822 -5.0072 -4.4269 -0.9585 3.8386 12.0206 -5.0326 -25.8997
sub-10506 -23.4117 -103.882 34.3929 -20.2866 -1.4528 -27.9414 28.0916 -46.0377 -0.0668 -5.5169 21.7474 -77.775
sub-10517 -5.674 -38.9181 27.7376 -9.2147 22.4332 -24.8722 29.5692 -26.9011 22.0556 -7.8536 19.0493 -19.9619
sub-10523 9.6769 -11.4377 -5.8772 -16.5659 14.121 5.1293 1.5923 -26.626 23.0935 5.6581 -4.7073 -22.8134
sub-10525 -61.6082 -85.0674 -1.3831 47.3998 -36.3595 -29.9958 111.3832 -41.5128 11.2865 -18.2555 3.9715 27.9649
sub-10527 29.2312 -8.8359 12.6278 -13.4097 19.0974 18.7906 33.2834 -6.7753 25.5877 23.5834 -13.9723 -50.6293
sub-10530 -37.5135 25.5941 -34.4826 0.2468 41.1824 -0.9314 -11.6846 12.241 -1.4974 23.3933 -17.426 -21.2318
sub-10557 11.6061 17.5442 -14.1027 -10.6055 68.6743 -6.8119 -31.3188 -9.1368 36.8535 3.4103 -24.7121 -12.6486
sub-10565 -4.0505 33.5142 -17.9733 -11.7215 1.5382 -7.9132 -4.5245 1.5417 -5.3545 -25.3758 9.6512 32.8509
sub-10570 -2.7543 11.7959 -21.0146 64.8703 47.9007 8.7865 23.5045 32.6732 6.585 -3.6301 48.9874 -9.7505
sub-10575 15.6373 47.1207 10.5048 -28.2637 -5.814 -7.8571 -6.0669 5.3031 1.2901 1.9238 -1.2649 -14.8471
sub-10624 -9.3446 -26.0133 -59.4747 72.9738 37.2847 5.2313 19.6566 33.2413 8.4634 1.2078 3.2974 -7.8173
sub-10629 -18.3081 4.8274 -32.595 -7.8294 28.3819 3.419 2.4358 -16.7784 32.6882 -8.2439 5.0271 10.8224
sub-10631 -22.9663 20.3505 2.2389 13.3622 44.9496 -34.0885 38.5976 -6.5269 -6.9602 -11.9256 13.7389 -6.2213
sub-10638 -16.8461 20.0881 22.6568 -47.9825 8.3674 -29.2522 -2.3064 -31.7224 -3.2838 -24.8875 -7.3007 19.4742
sub-10668 4.8097 48.566 -28.3381 -24.6111 0.81 5.0962 -8.9038 -2.3669 1.9167 -5.4402 -9.2777 -13.6473
sub-10672 -9.5603 48.9289 -10.2494 5.9558 -7.2521 -5.0477 -11.5618 27.5984 -52.8119 47.78 -5.0412 -1.734
sub-10674 -26.1366 47.1235 -24.2886 -20.1845 -23.7925 -15.7621 6.4064 -1.0891 -20.4499 1.2925 -2.5478 -8.59
sub-10678 -2.3489 9.0778 70.5666 -22.2792 57.7905 -27.8909 -4.4084 39.0621 -47.7449 11.7289 -0.7998 48.0081
sub-10680 -37.8401 4.7164 -38.6312 20.9394 42.0974 20.0428 -6.2418 3.2772 10.3512 3.0904 -11.3163 -6.3281
sub-10686 -27.5539 21.036 -74.096 -22.8187 20.2037 22.3218 -16.6888 -17.4354 33.1969 -9.7658 -16.8219 -4.2474
sub-10692 -29.4249 49.7845 -12.5655 -33.085 11.1659 3.1527 -21.3646 6.6762 -13.879 0.691 -15.781 7.7117
sub-10696 -20.3416 -2.9621 22.0491 -34.8632 30.5978 -27.2694 -3.1498 -15.1489 -8.9446 27.9072 -1.9092 8.1121
sub-10697 -21.3094 -68.1649 -16.8629 -4.2808 -19.6431 4.1116 -12.778 -11.2487 3.9432 3.5225 -13.8749 -3.0733
sub-10704 -14.4373 -9.0625 12.5054 -25.5819 -45.4021 -8.8169 3.1775 -10.8658 3.5722 -4.8791 -4.065 -14.7846
sub-10707 -28.0154 -11.9944 -13.5819 -2.9841 -26.7399 6.9985 -32.0276 29.7839 -25.3339 -4.9966 7.0864 -9.7594
sub-10708 -32.0349 10.7815 -33.3805 4.0213 30.4483 -12.1123 -4.7847 7.9063 -0.6993 2.7878 -4.1629 -9.4139
sub-10719 -18.5275 -24.7953 -45.9208 18.9596 79.012 22.6539 -29.8052 23.4641 33.7382 4.3606 14.5875 -12.0561
sub-10724 -83.0896 -45.4263 -88.733 20.4052 -14.4305 33.3696 -46.1551 29.6875 -8.534 3.1371 21.3162 17.645
sub-10746 14.8923 3.4853 -3.8684 -8.8555 -7.4864 -17.1476 9.8294 -6.0677 11.2577 -8.7291 -1.9946 -22.3395
sub-10762 -56.7611 10.7748 -77.8678 -6.4699 4.2408 13.1023 -25.8017 8.7292 -3.6933 -9.5187 5.5709 -8.9784
sub-10779 -16.4529 -25.9233 46.3535 -12.0448 -19.5918 -40.9408 46.6907 -37.4673 4.5684 24.92 -14.2307 -31.271
sub-10785 -18.5767 52.0124 -10.0159 -41.3716 -24.3044 -8.6607 -16.7413 -17.1091 -11.2774 -10.0278 -16.732 11.8504
sub-10788 -0.3975 -72.0549 28.0323 -36.257 -48.4869 29.5913 -49.5067 -22.6203 4.5481 -31.2961 -21.5154 17.2702
sub-10844 -23.7237 22.924 -11.2045 13.767 22.1702 -13.8886 18.6243 4.3158 -14.4359 0.5223 4.6393 20.8248
sub-10855 -40.6861 -99.3232 30.5763 47.7715 -39.3054 -30.5664 62.7139 -35.9186 -5.0202 89.2423 -65.5308 -20.0971
sub-10871 -1.2538 22.3945 -42.4931 15.4163 -4.91 0.8636 26.354 19.073 3.1833 -16.7494 15.3447 -7.2355
sub-10877 -3.7208 5.4932 65.3041 -9.7095 -28.9903 -19.3219 33.191 -0.102 -25.6392 -24.3922 -8.2814 49.4861
sub-10882 56.545 -22.8495 -6.2317 20.9744 -8.186 29.4313 29.9154 -1.7519 41.8273 7.5329 -40.6903 -17.6454
sub-10891 -12.4112 -3.5946 -26.1704 -7.6363 20.1054 -17.1882 24.3379 -17.2996 8.4946 6.6808 14.4762 2.4158
sub-10893 54.9108 -14.5602 48.5925 10.5808 -21.8989 17.1156 34.5943 3.5613 6.4605 28.4829 10.9574 -33.686
sub-10912 -45.5106 -62.2372 32.3321 17.4246 -33.8158 -36.4248 79.0822 -57.4869 5.7397 -20.6604 24.6695 31.4363
sub-10934 241.1795 35.0307 -26.6071 318.4583 15.1517 -224.8479 -211.9409 -144.5981 -71.5399 -107.6607 -71.015 -53.7688
sub-10940 4.6242 56.881 -35.0565 -47.1225 -7.0178 11.3206 -8.8547 -28.7638 26.7033 -9.1338 -25.7313 10.2852
sub-10949 32.2732 -37.8612 82.941 -28.4471 -10.2014 -0.2241 -54.9543 37.4492 -18.28 16.0669 -22.0408 -16.0077
sub-10958 -26.5337 -56.9818 45.9683 -27.3987 18.3961 -49.0081 -19.1536 -9.9725 -13.0094 1.3904 11.1799 -8.738
sub-10963 9.2147 -24.6373 17.2482 -9.0147 -18.5155 8.8851 -14.9477 -30.1134 9.2268 -5.9955 -10.3191 17.2974
sub-10968 -21.2368 -82.6835 43.5278 6.6036 -10.4655 -23.051 40.8349 -22.1236 9.6267 21.138 12.5339 -77.9115
sub-10975 152.3312 -122.4713 -13.175 21.3623 -69.4544 16.6952 -0.593 -24.879 46.5895 -3.0846 -20.5252 -15.8849
sub-10977 53.3214 1.1563 106.7409 -66.3979 37.6591 -15.5145 -58.9048 -21.4236 38.2127 -27.8614 69.975 22.8261
sub-10987 -70.0826 -101.2742 -105.2687 -3.6911 51.6598 38.2046 -96.8619 8.5987 27.8602 20.1306 -3.8608 15.1952
sub-11019 -21.408 23.4755 -37.028 17.518 -19.2654 6.3777 8.204 12.1721 -24.7421 19.0466 1.2822 -4.3029
sub-11030 -11.0374 5.0076 22.0849 15.4886 1.2708 -31.5755 40.9147 -5.896 5.2657 -32.5447 40.6305 39.9813
sub-11044 -34.0752 15.7498 -17.8634 4.9256 62.7721 -23.5608 -12.5188 9.03 2.4866 -12.2881 -13.7852 34.8616
sub-11050 42.152 -38.6809 47.868 39.7703 -50.0286 40.078 33.5979 13.7392 29.6955 11.2356 -11.5024 40.3249
sub-11052 -53.7577 -41.2237 20.3216 -38.3463 26.3131 -30.3578 2.9162 -46.2083 29.6733 -31.9261 5.7665 85.4952
sub-11059 -47.0992 -111.4138 45.4819 32.3039 -31.8917 -22.9375 4.361 13.4167 -26.9923 38.5727 -13.6138 19.4371
sub-11061 -16.1667 16.3496 -32.1544 21.3904 -20.1097 5.1881 27.8447 3.8262 7.7932 -36.3055 18.3168 8.9755
sub-11062 9.6944 59.8877 -18.0132 -18.3978 -2.0763 -11.1921 8.518 -18.0664 19.2348 -10.3702 11.4154 -2.8161
sub-11066 -18.6802 37.3642 -5.8948 -4.2909 -0.0738 -13.3459 13.8822 -1.6784 -0.417 -16.3877 15.1824 -15.6694
sub-11067 -19.5743 40.0752 -19.2085 -15.0595 9.7303 -10.9978 21.7615 -12.1029 -3.5657 -19.0072 3.5578 8.2376
sub-11068 -20.4792 -3.5751 -16.9826 7.4597 -52.1187 9.9626 12.3555 -11.9794 -5.7605 -18.9841 -10.804 1.2982
sub-11077 -36.0109 -65.5109 89.3127 -17.896 77.2856 -46.0854 3.3465 12.0679 -14.7773 7.5079 35.845 -27.0607
sub-11088 -0.4852 -13.0917 -5.1279 17.3217 17.3874 0.7061 43.1266 -20.7982 7.2785 24.493 5.3978 -17.7203
sub-11090 -24.831 27.3819 -38.6258 47.0549 1.5109 -60.8104 20.3471 74.6341 -106.315 42.2859 85.217 -38.4265
sub-11097 21.8519 8.8663 76.9679 69.4671 112.5471 -34.2645 76.5463 85.0576 -18.174 30.4869 -192.5018 162.5283
sub-11098 6.8928 64.0988 19.6744 -11.417 -52.7132 -33.6649 6.734 27.8488 -86.4587 39.5977 18.6886 -19.9502
sub-11104 46.2307 -74.6293 18.3823 -32.2406 4.4899 14.6507 23.7633 -38.0515 53.0994 -20.9563 24.4755 -8.2241
sub-11105 -46.6685 47.6016 -72.1642 -19.2988 -6.3395 -13.8153 -8.1351 8.3944 -12.6133 29.8207 7.2656 -23.1817
sub-11106 -11.4916 -17.1732 44.8085 13.307 -17.8379 -7.5983 68.7033 -39.6725 -26.3839 -8.25 -40.4197 24.4036
sub-11108 -43.6965 -0.5341 -12.0867 -17.2672 41.7435 -6.3465 -23.9348 -19.7549 -2.3447 -17.6461 -6.9479 57.8175
sub-11112 5.9794 -41.9808 44.6985 1.6177 -41.2962 -23.5392 54.8647 -22.948 0.6213 -19.8847 31.7208 -11.2348
sub-11122 -24.2211 -33.5066 21.332 33.3763 -32.7958 18.1773 20.5412 -19.1283 -6.659 8.3963 -6.0835 7.0193
sub-11128 -29.2939 32.4236 -11.8834 -30.4735 19.5569 -29.1468 6.2621 -40.7182 11.0389 -28.5163 -6.8 0.4738
sub-11131 -35.7511 11.7504 -5.3572 -31.9314 -39.3121 -14.5876 -22.8824 -8.1849 -23.6085 27.4603 -7.4166 1.1749
sub-11142 -10.3605 -45.4187 55.1441 -23.827 41.9222 -16.4591 4.9342 -24.5544 24.8095 -0.0791 -31.8417 5.2165
sub-11143 -26.3404 16.5786 -13.7409 -18.7355 2.8049 5.8053 -25.108 -4.5699 -7.5155 3.0995 -5.2234 -10.4229
sub-11149 7.109 36.0543 -13.1994 -20.4708 -3.1897 -5.6101 -7.1852 -3.708 8.3794 37.0866 -13.5408 0.525
