subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16 PC17
sub-1001 -98.4782 -26.5806 23.8516 -23.2704 46.4209 -11.4731 39.1821 -17.7635 37.7354 -12.4109 4.0452 -6.3287 4.7639 -8.1104 0.993 -4.0189 9.162
sub-1002 34.8834 -19.3743 -62.0505 -15.2797 1.6825 -37.9623 -15.0699 16.5537 12.33 -8.7092 4.5129 12.4674 -5.6298 -11.9916 15.9827 -10.4881 4.6081
sub-1003 93.7384 7.6027 2.5087 45.6702 40.1236 -18.4846 -0.7631 -11.6905 15.6051 26.3171 -2.8625 42.0942 -5.3139 7.2101 7.9904 -45.3959 9.3544
sub-1004 26.6783 -56.0301 0.4761 9.1835 35.7676 -25.9209 3.8497 -21.1567 -23.5698 -8.8426 -5.7616 19.0426 11.4039 -29.9752 13.4813 -27.2126 4.743
sub-1006 78.7793 24.8563 52.6484 79.9439 -16.9819 -0.8043 22.1035 -4.0077 -3.4032 47.8497 -67.3229 45.3421 -29.8723 6.903 -7.2133 -5.8729 36.312
sub-1009 89.3348 28.3441 -19.4714 59.5089 17.8585 10.8015 -11.0162 87.2365 -6.9618 -2.8249 22.7708 -0.4479 -16.3539 39.3455 23.0845 -21.4402 -7.243
sub-1010 50.8332 42.5165 -0.0343 17.8652 33.0673 -7.0161 -19.7775 -3.013 -3.0061 22.101 9.5013 -43.6737 -19.0754 -21.2741 73.5309 35.6158 43.2702
sub-1012 -28.0801 -76.3868 -44.538 -3.9125 4.5373 23.7945 -16.3645 14.1373 -28.8021 1.8214 24.6207 -0.5291 7.2263 1.673 -2.5817 -6.4108 -44.1177
sub-1013 8.7353 -36.3903 11.9034 0.0766 6.7555 -19.276 28.246 60.9137 36.3915 -18.4741 -4.3492 -16.0582 24.4627 5.9714 62.9416 -16.7392 8.2321
sub-1015 -93.8151 -36.5457 38.8611 -55.9314 -31.5281 -20.7298 -0.0696 7.6679 1.7255 25.049 -74.2257 -21.9669 -35.2969 3.2573 0.4634 -36.8973 -1.9887
sub-1018 -66.4886 59.0306 49.0704 -19.3249 -41.5625 12.7324 -34.6431 -37.2164 -18.8065 -47.1661 1.0343 -18.3586 7.2377 6.4775 -8.4536 2.373 -12.6291
sub-1019 142.9789 49.2627 -70.0047 -29.0702 -86.4858 -15.9494 96.1133 -50.533 -16.039 -0.4596 11.6273 -4.5935 -44.5711 -27.2081 -11.5742 44.0661 -43.302
sub-1020 -50.3906 -44.0894 42.7969 22.5569 -4.5921 -25.0804 7.8455 19.0199 20.071 17.0905 -7.4603 -6.392 -25.6818 7.8346 -20.995 11.4095 18.156
sub-1021 -30.1915 -43.2577 16.5532 -40.5727 -1.1884 -4.8801 10.1827 -7.5983 12.917 -9.6533 5.686 -14.2658 -11.7663 -22.3768 -8.6003 16.0033 -13.5556
sub-1022 -34.1257 -74.0146 -40.73 -12.2674 -0.4169 49.0199 18.0268 38.6776 -8.171 1.051 20.6371 -30.2325 -28.2846 -35.9802 -9.0952 10.9302 29.5479
sub-1024 -100.9058 60.6768 53.5595 35.4772 59.2091 -80.1312 30.7685 25.2191 -11.0951 6.3571 77.7908 -20.4267 16.5363 -16.6319 12.9072 58.8257 33.0998
