subj.id Vis_w Vis_b SomMot_w SomMot_b DorsAttn_w DorsAttn_b SalVentAttn_w SalVentAttn_b Limbic_w Limbic_b Cont_w Cont_b Default_w Default_b Subcort_w Subcort_b
sub-001 0.1151 -0.0183 0.2177 -0.004 0.2288 -0.0038 0.3717 -0.0068 0.1539 -0.0225 0.0948 -0.0113 0.1526 -0.0711 0.0979 -0.0216
sub-003 0.0552 -0.0087 0.1037 1e-04 0.1199 2e-04 0.178 -0.0016 0.0296 -0.0065 0.0568 -0.0052 0.0744 -0.0335 0.0321 -0.0061
sub-004 0.1401 -0.0583 0.3465 0.011 0.2439 0.0153 0.2655 0.0182 0.0827 -0.0277 0.1403 0.0152 0.1758 -0.0482 0.1213 -0.0013
sub-005 0.3572 -0.0381 0.2256 -0.0214 0.2281 -0.0217 0.2206 -0.0217 0.1189 -0.0111 0.0973 -0.017 0.1575 -0.0621 0.1258 -0.0156
sub-006 0.3319 -0.0473 0.1724 -0.0133 0.3595 -0.0215 0.2063 -0.0127 0.0545 -0.0073 0.1583 -0.0159 0.214 -0.0893 0.0861 -0.0161
sub-007 0.289 -0.0185 0.2866 0.0334 0.2551 0.0387 0.1754 0.032 0.0683 -0.0135 0.125 0.0187 0.1009 -0.0084 0.0702 -0.0229
sub-008 0.2416 -0.0287 0.2003 -0.0063 0.2384 -0.0149 0.2802 -0.0218 0.1151 -0.0183 0.0886 -0.0096 0.1295 -0.0541 0.1038 -0.0069
sub-009 0.1182 -0.0177 0.2203 -0.0131 0.318 -0.0106 0.232 -0.0074 0.0802 -0.0097 0.0703 -0.018 0.1988 -0.092 0.0766 -0.0032
sub-010 0.3864 -0.0545 0.2257 -0.0208 0.2713 -0.0193 0.2148 -0.0059 0.0978 -0.0084 0.1808 -0.0305 0.1903 -0.078 0.1279 -0.0125
sub-010c 0.4303 -0.0613 0.2172 -0.023 0.2131 -0.0093 0.2696 -0.0144 0.0219 -6e-04 0.1388 -0.0233 0.1922 -0.0809 0.0706 -0.0063
sub-012 0.3262 -0.05 0.2505 -0.0261 0.2622 -0.019 0.2032 -0.0143 0.0206 -0.0028 0.1063 -0.0205 0.1326 -0.0579 0.1058 -0.0147
sub-013 0.5442 0.2768 0.6402 0.2742 0.5514 0.2643 0.4474 0.2557 0.1031 0.0894 0.1785 0.1522 0.2283 0.1269 0.3008 0.176
sub-015 0.3031 -0.0771 0.3468 -0.0077 0.2057 0.0037 0.2174 0.0139 0.0775 0.0116 0.1715 -0.0039 0.0834 -0.024 0.1048 -0.0204
sub-015c 0.4231 -0.1191 0.3705 -0.0157 0.2332 -0.0215 0.2646 -0.0126 0.1706 -0.0036 0.1485 -0.012 0.137 -0.0186 0.2288 -0.0094
sub-016 0.3365 -0.0691 0.2821 -0.0341 0.1516 -0.0197 0.1898 -0.0063 0.1871 -0.0016 0.1107 -0.0079 0.1153 -0.0277 0.228 -0.0237
sub-017 0.1484 -0.0141 0.1848 -0.0166 0.1074 -0.0072 0.2722 -0.0161 0.0498 -0.0041 0.1242 -0.022 0.1186 -0.0525 0.1067 -0.0207
sub-018 0.2868 -0.0626 0.336 -0.0229 0.173 -0.0212 0.2647 -0.0238 0.1193 0.0076 0.1689 -0.0353 0.1622 -0.0474 0.0716 0.0029
sub-020 0.1678 -0.0232 0.1246 -0.0134 0.1983 -0.0039 0.1574 -0.0061 0.2012 -0.0339 0.1575 -0.005 0.1682 -0.0584 0.0813 -0.0192
sub-021 0.3351 -0.0655 0.162 -0.0133 0.1976 -0.0136 0.2549 -0.0039 0.0453 -0.0027 0.1038 -0.0053 0.2014 -0.0682 0.0876 -0.0084
sub-022 0.3308 -0.0942 0.4442 -0.0106 0.144 -0.021 0.2395 0.0236 0.1521 0.0029 0.178 -0.0274 0.1357 -0.0118 0.1896 -0.0326
sub-023 0.1875 -0.0097 0.2704 -0.0069 0.1534 0.0063 0.2246 -7e-04 0.1593 -0.0467 0.1408 -0.0153 0.1186 -0.0385 0.048 -0.0068
sub-024 0.1457 -0.0185 0.2043 -0.0243 0.291 -0.0339 0.3371 -0.0299 0.0806 -0.0089 0.057 -0.0139 0.1703 -0.0616 0.0797 -0.0109
sub-025 0.44 -0.0874 0.2524 -0.0185 0.0943 -0.0073 0.252 -0.0146 0.0576 -0.0039 0.0266 -6e-04 0.1076 -0.0312 0.1666 -0.0061
sub-026 0.2981 -0.0636 0.2856 -0.0232 0.2479 -0.033 0.3183 -0.0201 0.0673 0.0061 0.161 -0.0222 0.1429 -0.0385 0.1823 -0.0264
sub-027 0.3494 -0.0751 0.2659 -0.0135 0.3097 -0.0125 0.2782 -0.004 0.0932 -0.0163 0.1669 -0.0087 0.2127 -0.0915 0.1287 -0.0109
sub-028 0.3784 0.0231 0.2902 0.0273 0.3524 0.0375 0.2495 0.0403 0.0891 -0.016 0.1359 0.0152 0.1402 -0.0521 0.0761 -0.0528
sub-029 0.2025 -0.0238 0.1322 -0.0018 0.1985 -0.0069 0.2845 -0.0064 0.0491 -0.0044 0.139 -0.0231 0.1922 -0.0819 0.0904 -0.0134
sub-030 0.2347 -0.0336 0.2586 -0.0185 0.2157 -0.0176 0.1972 -0.0057 0.0787 -0.0047 0.1651 -0.0339 0.1813 -0.0704 0.0582 -0.0023
sub-031 0.3152 -0.0645 0.3194 -0.0253 0.1623 -0.0093 0.1767 -0.009 0.0651 0.0022 0.1429 -0.0233 0.1677 -0.044 0.1124 -0.0203
sub-032 0.3993 -0.0626 0.1612 -0.0184 0.1365 -0.0099 0.2439 -0.0297 0.0503 -0.0034 0.1445 -0.0247 0.1124 -0.0375 0.0823 -0.008
sub-032c 0.3503 -0.08 0.3966 -0.018 0.1059 2e-04 0.3708 0.0129 0.1294 -0.0287 0.1179 0.0057 0.096 -0.0464 0.1229 -0.0179
sub-033 0.2893 -0.045 0.2428 -0.0208 0.1655 -0.0037 0.2301 -0.007 0.0746 -0.0045 0.131 -0.0185 0.163 -0.0588 0.0699 -0.0155
sub-033c 0.225 -0.0178 0.2125 -0.0041 0.2323 0.0039 0.182 0.0085 0.0525 0.0019 0.1347 -0.0173 0.1304 -0.0784 0.053 -0.0069
sub-034c 0.2723 -0.0756 0.3778 -0.0446 0.1587 -0.0123 0.2304 -0.0091 0.2824 -0.0122 0.2026 -0.0112 0.128 -0.0265 0.129 -0.017
sub-035 0.1855 -0.0316 0.2787 -0.0181 0.1643 -0.013 0.3041 -0.0077 0.0911 -0.006 0.0835 -0.0166 0.1185 -0.0559 0.0679 -0.0033
sub-035c 0.3751 -0.075 0.4112 -0.0185 0.1949 -0.0037 0.3034 0.0128 0.0355 -0.0057 0.1616 -0.0231 0.1636 -0.0727 0.1092 -0.0122
sub-036 0.4693 -0.0783 0.207 -0.0179 0.2523 -0.0283 0.3221 -0.0198 0.0583 -0.0035 0.1367 -0.0217 0.1825 -0.0677 0.1267 -0.0049
sub-036c 0.4137 -0.1204 0.4405 -0.0548 0.2443 -0.0188 0.2444 0.0161 0.081 3e-04 0.202 0.0025 0.1531 -0.0304 0.1277 -0.0047
sub-037c 0.217 -0.0186 0.2967 -0.0208 0.0978 0.008 0.2577 -0.0127 0.0761 -0.0019 0.2024 -0.0439 0.1219 -0.0488 0.0932 -0.0258
sub-038 0.1784 -0.0235 0.2503 -0.0145 0.1997 -0.0134 0.1718 -7e-04 0.1019 -0.0168 0.1292 -0.0236 0.1208 -0.0535 0.0557 -0.0132
sub-039 0.3665 -0.0619 0.0735 -2e-04 0.1442 -0.0122 0.3103 -0.0192 0.1497 -0.0109 0.0864 -0.0151 0.0823 -0.0329 0.1446 -0.012
sub-040 0.2056 -0.0389 0.3312 -0.0246 0.3538 -0.0097 0.2104 0.0115 0.0869 -0.0155 0.1028 -0.0134 0.091 -0.0518 0.1325 -0.0165
sub-040c 0.4029 -0.0604 0.4176 -0.0454 0.2725 -0.0279 0.2497 -0.0137 0.1192 -0.011 0.1644 -0.03 0.1371 -0.0542 0.2284 -0.0174
sub-042 0.1192 -0.0056 0.2098 0.0011 0.2754 -0.0268 0.2617 0.0088 0.0648 0.0129 0.0298 -0.0028 0.167 -0.0526 0.0829 0.0166
sub-043 0.3532 -0.0583 0.1837 -0.0135 0.221 -0.0185 0.2425 -0.0058 0.0426 -0.0046 0.1077 -0.0151 0.1544 -0.0497 0.0604 -0.0047
sub-044 0.1467 -0.0213 0.0887 -0.0069 0.2013 -0.0108 0.1769 -0.0177 0.1007 -0.0024 0.0479 -2e-04 0.114 -0.0415 0.1093 -0.0088
sub-045 0.1982 -0.0357 0.142 -0.0093 0.1908 -0.0037 0.2656 -0.007 0.063 -0.0153 0.12 -0.007 0.1249 -0.0606 0.037 -0.0092
sub-047 0.1373 -0.0243 0.1941 -0.0158 0.184 -0.0096 0.2492 -0.0275 0.0391 -0.0016 0.0914 -0.01 0.1216 -0.0426 0.1524 -0.0208
sub-047c 0.3247 -0.0643 0.1728 -0.0082 0.1385 -0.0078 0.2059 -0.0039 0.0958 -0.0089 0.1415 -0.0204 0.0465 -0.0146 0.0574 -0.0137
sub-048 0.4281 -0.0755 0.374 -0.0133 0.2852 -3e-04 0.2406 -0.0042 0.1171 -0.0152 0.162 -0.0045 0.2346 -0.0842 0.1135 -0.0118
sub-049 0.194 -0.0295 0.4028 -0.013 0.1393 -0.0052 0.3069 -1e-04 0.0597 -0.005 0.0648 -0.0125 0.1437 -0.0739 0.0683 -0.0184
sub-050 0.5468 -0.0698 0.241 -0.0288 0.2443 -0.0249 0.1561 -0.0155 0.0946 -0.0035 0.1391 -0.0297 0.3112 -0.0941 0.0817 -0.01
sub-050c 0.4816 -0.078 0.2241 -0.0181 0.2266 -0.014 0.1891 -0.0028 0.0608 -0.0065 0.1844 -0.0328 0.16 -0.0563 0.1319 -0.0109
sub-051 0.3039 -0.0741 0.3642 -0.0262 0.1994 -0.04 0.195 -0.0078 0.0728 0.0061 0.1513 -0.0163 0.2121 -0.0455 0.0742 -0.0061
sub-052 0.6187 -0.0767 0.4404 -0.016 0.1718 0.012 0.1626 0.0101 0.0504 -0.0078 0.1427 -0.024 0.1132 -0.061 0.1334 -0.0261
sub-053 0.1872 -0.0223 0.0995 -0.0163 0.1047 -0.013 0.1196 -0.0025 0.0873 -0.0046 0.0968 -0.0165 0.0791 -0.0167 0.0434 -0.0078
sub-056 0.1316 -0.0243 0.1334 -0.0153 0.2129 -0.0232 0.1559 -0.004 0.0632 6e-04 0.0455 -0.013 0.1464 -0.0454 0.0906 -0.0033
sub-057 0.0602 0.0015 0.2316 0.0225 0.2516 0.014 0.2656 0.0248 0.0758 -0.0409 0.1828 0.0231 0.1859 -0.0316 0.0608 -0.0256
sub-058 0.3901 -0.0904 0.3572 -0.0154 0.2162 -0.0249 0.2674 0.0064 0.1088 -0.0023 0.1669 -0.0217 0.1484 -0.0401 0.214 -0.0077
sub-060 0.4091 -0.0563 0.1232 0.0065 0.2233 0.0042 0.2943 0.0141 0.0407 -0.0027 0.106 0.0031 0.1342 -0.0672 0.082 -0.0028
sub-061 0.1965 -0.0195 0.2657 -0.0092 0.2083 -0.0088 0.2582 -0.0034 0.1843 -0.0149 0.2496 -0.051 0.1726 -0.0739 0.158 -0.0136
sub-062 0.3729 -0.0186 0.3071 -0.0305 0.1508 0.0012 0.1389 -0.0093 0.0341 -0.0076 0.0914 -0.0213 0.1661 -0.0787 0.076 -0.0165
sub-062c 0.5698 -0.0888 0.0919 -0.0026 0.1915 -0.0049 0.3272 -0.0095 0.0891 -0.0011 0.1557 -0.0168 0.1843 -0.079 0.1382 -0.0109
sub-063 0.3912 -0.0695 0.4138 -0.014 0.1659 0.0046 0.2264 0.0097 0.1753 0.0055 0.124 -0.0015 0.1001 -0.0145 0.471 -0.0504
sub-063c 0.2294 -0.0399 0.4815 -0.0119 0.1746 -0.0021 0.2231 0.0162 0.1067 0.0091 0.1611 -0.0282 0.1376 -0.0319 0.2237 -0.0297
sub-064 0.139 -0.0217 0.1604 -0.0073 0.2361 -0.016 0.2442 -0.0148 0.1002 -0.0142 0.1072 -0.0063 0.0496 -0.0192 0.314 -0.0478
sub-065 0.0561 -8e-04 0.2236 -0.01 0.2369 -0.0121 0.1732 -0.0097 0.0619 -0.0039 0.15 -0.0354 0.0912 -0.0423 0.0734 -0.0119
sub-066 0.1947 -0.0259 0.1748 -0.0174 0.199 -0.02 0.189 -0.0144 0.0612 -0.0078 0.123 -0.0225 0.1412 -0.0536 0.0778 -0.0036
sub-066c 0.2625 -0.0624 0.3283 -0.0089 0.1458 -0.0168 0.1888 0.0084 0.1256 0.0108 0.1328 -0.0084 0.0817 -0.0136 0.1775 -0.0313
sub-067 0.357 -0.0655 0.1251 -0.0075 0.2722 6e-04 0.2829 -0.0081 0.0495 -0.0128 0.1556 -0.0029 0.1395 -0.0604 0.142 -0.0151
sub-068c 0.2639 -0.051 0.2389 -0.0013 0.1473 0.0078 0.3064 -0.0044 0.0597 -0.003 0.0632 -0.0058 0.1037 -0.0457 0.0529 -0.0184
sub-069c 0.097 0.0038 0.2852 -0.0198 0.1447 -0.0041 0.2166 -0.0187 0.1203 -0.0087 0.093 -0.0136 0.0603 -0.0307 0.0633 -0.0175
sub-071c 0.5417 -0.09 0.3233 -0.0338 0.3614 -0.0261 0.2717 -0.017 0.1199 0.0084 0.2054 -0.0257 0.2237 -0.0903 0.1345 -0.0064
sub-073c 0.2455 -0.0463 0.1153 -0.0098 0.2328 -0.0132 0.2904 -0.0223 0.1361 -0.0082 0.0823 -0.0094 0.1058 -0.0454 0.0584 -0.0098
sub-074c 0.2639 -0.0216 0.2633 -0.0153 0.2659 -0.0061 0.268 -0.0316 0.0584 1e-04 0.1232 -0.0157 0.1264 -0.0587 0.1743 -0.0346
sub-075c 0.3256 -0.0454 0.2541 -0.0277 0.1899 -0.0261 0.3163 -0.0059 0.0492 -0.0101 0.1647 -0.0283 0.1644 -0.054 0.0905 -0.014
sub-076c 0.2762 -0.0764 0.2881 -0.0118 0.0829 -4e-04 0.2433 0.003 0.0922 -0.0106 0.0948 4e-04 0.092 -0.0221 0.1182 -0.0111
sub-081c 0.2239 -0.0208 0.3756 -0.0303 0.2198 0.0024 0.2217 -0.004 0.0788 -0.0051 0.1419 5e-04 0.0964 -0.037 0.2951 -0.0516
sub-082c 0.3329 -0.0708 0.192 -0.0052 0.1949 -0.0175 0.183 -0.0025 0.2418 -0.0133 0.1728 -0.0133 0.1109 -0.0416 0.1494 -0.017
sub-083c 0.2627 -0.0346 0.1587 0.0072 0.2397 -0.0036 0.2472 0.0066 0.1017 -0.0073 0.1531 -0.013 0.1988 -0.0903 0.0769 -0.005
sub-084c 0.3201 -0.0505 0.1659 -0.0141 0.1752 -0.0091 0.3136 -0.0164 0.1747 -0.0205 0.0889 -0.0092 0.1454 -0.0649 0.0739 -0.0104
sub-085c 0.4214 -0.0477 0.3204 -0.0154 0.202 -0.0167 0.3754 -0.0073 0.0529 0.0054 0.2052 -0.0553 0.1548 -0.063 0.1464 0.007
