subj.id PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 PC11 PC12 PC13 PC14 PC15 PC16
sub-001 -25.7752 72.4037 -1.8837 9.6408 -27.142 12.412 28.2379 -13.1088 11.4917 -23.1696 67.2676 -4.1591 7.7102 -9.5003 1.8554 -5.6331
sub-003 3.4157 57.3482 -53.305 38.6345 38.1441 12.1398 -18.1681 8.6513 19.2788 -3.2342 32.0742 24.5669 18.4185 -2.5664 4.3946 -13.0286
sub-004 2.6897 -18.1936 -3.5064 25.5837 22.4239 -6.965 80.9942 -10.2513 11.0728 56.6566 51.2015 28.897 25.5191 38.7669 -11.7477 -5.7681
sub-005 -13.2975 -29.1733 30.8625 -29.8382 94.2409 -23.5471 19.9967 1.1552 15.9774 57.4795 -24.908 4.4576 -3.1019 13.115 16.9502 -3.4226
sub-006 -14.7065 59.152 11.2375 -55.4958 -13.6221 -72.95 27.7886 -46.8383 8.9981 24.2971 -15.3254 14.4193 21.1916 50.0549 -30.0623 5.6584
sub-007 103.7909 -35.486 21.6355 66.9717 6.7823 -219.4357 47.3456 264.1612 -14.548 -102.4999 -18.2745 74.0715 -39.109 -2.9463 -19.2985 -17.8622
sub-008 -9.3297 65.2676 -35.7448 3.1046 5.5011 27.7836 29.8076 29.028 0.9039 32.0813 -11.3588 -23.9098 -24.2985 -3.0893 7.0329 0.3233
sub-009 -30.1264 119.2404 27.0676 -24.6346 -70.499 -22.4167 46.9769 -16.6029 51.6151 -35.7715 97.2337 35.2994 -5.9686 19.6551 -50.1304 52.1234
sub-010 -33.8281 59.1016 37.4762 -35.2385 -28.8929 3.5621 -29.3618 9.692 -6.286 -0.7512 -31.1213 10.4682 15.6893 -55.5629 -33.1913 8.6545
sub-010c -49.9874 20.7977 22.3929 -36.4946 -32.3168 8.611 -40.337 1.5475 -36.4568 -34.2018 31.9938 -0.7159 27.111 -3.0399 -10.5382 14.0996
sub-012 -10.8426 25.5759 6.9873 -23.9747 24.001 -9.806 -21.7326 18.4733 -66.3609 -7.3342 9.5983 27.076 -29.1725 18.1033 22.9394 -26.1023
sub-013 95.7088 82.9927 284.1191 358.1225 -18.2767 -0.9415 -10.9122 -38.0524 -49.4117 50.1891 -33.2173 -80.0571 -23.084 6.7355 -17.9277 11.2906
sub-015 2.4296 -63.9689 -17.9522 36.4545 7.1807 -6.9308 -26.0945 -12.5039 7.088 10.8321 5.1353 26.0466 0.6198 -27.771 -7.2803 33.1704
sub-015c -3.3629 -108.5278 -25.686 -2.2161 4.5856 -1.7396 -12.11 -27.3658 -53.6189 9.0423 -47.9926 0.7723 21.0527 -23.2385 -20.2626 9.7503
sub-016 -9.1689 1.0698 -98.1403 9.3269 9.2021 36.3366 -8.8993 -0.1285 -112.7564 -10.2964 -45.5832 5.6819 2.8605 21.6301 -29.9592 -20.7896
sub-017 -20.2542 45.7054 -24.7245 22.2952 -15.9998 39.859 -46.2881 27.9995 16.544 -15.9616 32.4118 -2.0452 21.9162 -3.6501 -23.6982 -13.5344
sub-018 -30.2683 -32.5929 -20.6182 -6.9483 -13.3984 21.5467 -2.556 12.6219 53.5283 2.9566 -101.4755 -15.598 -54.3184 18.7213 37.0019 22.0661
sub-020 32.2435 64.4932 -23.9745 -26.7392 16.9783 -15.6535 20.716 1.6199 18.4752 -6.8158 -42.4166 -19.3864 22.775 34.8549 -0.4776 -8.5429
sub-021 -21.0988 8.8425 22.2739 -28.4379 19.0948 -42.122 -18.83 -21.5923 -9.4636 15.8478 20.0802 6.7145 6.9889 -19.3608 25.4619 16.0856
sub-022 14.12 -143.4112 -60.9655 46.3955 -64.0002 -19.4871 -19.8021 -18.2274 33.3728 17.827 -29.7166 22.3729 7.022 -19.3892 -31.0517 10.6627
sub-023 7.4425 11.4495 -3.6406 25.2752 37.2229 46.8861 -20.7789 7.0316 -17.5161 -1.8479 6.7648 33.7958 54.5712 23.3371 -34.1064 -13.2498
sub-024 -42.4812 83.6659 -14.0566 -10.3182 -21.7983 48.878 0.674 36.0395 -15.794 6.4738 12.8146 -1.5926 41.1598 7.5076 -30.8615 -13.7332
sub-025 -1.9534 -94.0706 21.2248 -8.4607 125.7596 21.0038 31.713 11.3424 -28.9994 13.8615 49.3201 -51.2256 -39.0164 12.8815 103.7257 -8.4942
sub-026 -11.3979 -70.3446 -29.7683 -2.4812 5.4642 -25.6563 11.7236 27.6341 14.6343 39.3417 -39.075 -45.6428 23.8609 -1.0472 2.8599 34.8839
sub-027 -31.9995 48.0878 9.5262 -52.8885 -59.9569 -94.9469 37.156 -30.389 -13.5088 1.6542 16.953 -24.1379 -10.5075 66.9856 -45.6801 -9.5455
sub-028 95.1099 61.1143 56.0478 12.0535 -31.2024 12.2487 57.9416 -71.2015 -39.6857 -86.4782 -90.7082 163.3942 100.4081 -74.6606 130.727 -42.589
sub-029 -27.5779 70.4831 2.7507 1.9145 6.1966 -22.3424 -5.4046 -16.7864 37.4071 24.2681 -15.0082 16.1385 -3.9867 -7.4514 9.3709 27.4914
sub-030 -23.1681 5.2627 5.111 0.4678 -19.0872 -4.9263 0.6498 -23.7533 24.0169 2.3379 -24.288 14.8791 0.988 15.4894 -6.8288 2.2323
sub-031 -11.7102 -16.2574 1.5059 -13.2761 48.3973 23.2191 26.8899 4.6689 4.3817 11.4678 -48.3142 0.7775 -34.4887 14.4386 19.447 1.9781
sub-032 -14.7837 -13.0566 -17.8414 -10.8921 30.6193 8.0564 -23.3013 5.8815 9.5867 -7.8916 -20.2302 -17.1235 -21.2193 2.2507 41.1805 9.1014
sub-032c 25.0059 -95.7937 -73.8686 72.7814 -156.638 -34.1921 -23.8876 -26.8621 44.4451 9.5843 115.317 6.1081 -3.471 13.0526 55.7293 0.27
sub-033 2.7403 -10.9716 0.1684 -1.0507 -31.9595 -5.893 -32.1565 -22.9607 21.1606 -33.107 -19.6495 19.7443 8.6512 -4.0206 23.0128 -2.3169
sub-033c -3.3281 58.7747 22.9102 -5.881 -6.6975 -21.0707 13.9708 -20.5998 41.1904 10.6347 -23.5811 -0.9464 -31.3095 -11.7766 9.08 -20.4615
sub-034c 20.0145 -125.6692 -66.677 35.6415 -44.7562 12.2242 -0.9756 12.1917 29.983 -3.0325 33.6167 -46.2787 82.3827 40.4595 -2.7832 -46.1061
sub-035 -34.9044 41.0763 -39.9117 15.6276 -39.9997 62.8386 24.9182 25.9695 -0.627 -15.4244 -16.0271 -22.569 3.4875 23.5079 -26.4048 -11.6697
sub-035c -31.2482 -41.2913 44.9258 -29.4343 -17.7425 65.9068 179.9193 -34.2258 -1.2608 -5.7773 51.78 30.6074 -108.2075 -104.6856 -33.4531 -34.9702
sub-036 -25.7318 6.6291 -17.1027 -24.5116 -41.8371 -34.7404 -35.4747 -12.7905 -15.4456 13.7172 -34.0046 -6.5016 -14.0394 -28.2758 13.2694 65.3354
sub-036c 8.9445 -153.819 -66.2301 19.5293 -96.0806 -27.1415 -12.0255 2.447 19.0875 16.3389 -26.5096 -18.227 -5.4379 -3.1378 3.508 -40.1435
sub-037c -25.823 4.3193 12.3332 29.8343 -32.074 71.9809 -32.0221 48.5336 39.2458 -27.0706 4.1049 13.0663 -72.8773 -14.5486 17.5462 -0.4664
sub-038 -27.2616 44.7057 -19.4915 3.3078 0.9623 10.4846 -26.8132 2.5138 -11.2069 -9.3015 9.9802 37.8316 8.2238 31.5337 -9.8622 12.6691
sub-039 -19.4982 30.0919 -53.3931 3.0876 8.5075 -9.3465 -58.3161 16.5038 -40.8123 -0.75 22.6117 -22.8861 -10.2723 29.7298 45.4884 35.8306
sub-040 3.9143 45.6125 -43.0224 6.6184 -58.8152 -34.9313 7.1857 -33.5803 -6.771 -17.5356 2.6733 11.0689 -15.6405 104.8872 -55.611 -31.5555
sub-040c -17.8323 -89.3753 30.6953 -48.0288 -5.9097 91.5023 30.7871 54.1407 -48.4771 1.6163 -80.3337 -58.1532 -3.5232 44.4107 -9.688 -106.9127
sub-042 -17.3574 62.7871 8.9625 3.7292 12.036 -14.4218 3.4685 -7.7505 18.7989 27.3337 -6.856 10.6643 -15.8949 -2.3064 13.9874 30.6142
sub-043 -18.4723 -1.6142 -17.8379 -1.0537 -27.2649 -16.8246 -43.2343 -9.0748 0.3788 -17.6401 -2.2144 -3.7956 -1.1683 6.5002 28.3506 6.1008
sub-044 10.0457 53.853 -43.0841 8.1165 52.4541 -6.5159 -11.5365 0.425 5.833 7.2501 0.7182 -3.006 29.7745 29.3087 10.2254 34.9665
sub-045 1.6116 78.1216 -19.2772 -22.416 -19.7588 -41.8598 13.2213 38.7923 66.8447 -54.5156 23.8754 -183.937 120.7557 -151.3498 25.7828 -61.2051
sub-047 -21.9639 -17.4501 9.1728 1.6812 79.8636 34.8214 40.238 49.3023 19.8516 33.2134 32.4991 -0.0409 60.5465 60.8547 -21.1031 -21.1338
sub-047c -3.5903 13.2052 -69.7353 24.7168 36.9688 -9.5647 -34.5132 -15.0858 -12.4695 -24.0357 3.5838 6.9507 -32.5352 7.4465 28.089 34.387
sub-048 -30.2423 6.2126 85.3815 -56.664 -39.7162 6.8146 13.036 -6.7135 -76.5241 -25.3538 30.111 13.5692 -6.5917 -40.8651 -20.6226 -77.989
sub-049 -36.2122 8.4622 4.5966 30.4847 -29.7616 67.7058 34.6793 26.6063 31.5899 -1.3286 40.5923 18.5768 -62.0624 16.2877 36.4786 -36.5248
sub-050 -37.683 -74.5628 192.9462 -113.6169 -5.1112 -17.8391 -87.1827 -16.6001 -1.0388 -42.0202 -14.572 -19.9211 44.6496 9.64 -24.7398 -18.1459
sub-050c -28.8403 -32.5778 82.75 -48.7203 14.3059 8.3052 -54.6819 26.1444 -8.2922 -1.5764 14.4719 -18.7477 -13.2547 -40.6477 -13.3974 -19.2951
sub-051 -21.1498 -63.1343 45.212 -52.1668 8.6675 -18.0515 -12.7266 -7.7329 20.9545 5.5451 -75.9696 7.6542 -21.0899 -18.858 6.4106 16.5075
sub-052 -5.5044 -77.7821 78.1843 -13.1498 9.9385 -20.3284 -75.0637 -51.4512 -34.7431 -37.2942 31.4615 13.2281 -30.6879 20.753 38.7987 2.8573
sub-053 12.4615 34.0866 -66.7532 15.6693 73.8443 -4.986 -47.3697 0.6513 -15.6633 -2.1037 -21.1457 10.3885 1.9436 35.1384 -4.061 -28.5449
sub-056 -8.9568 45.9104 -19.0594 -14.8391 66.6406 20.0477 -6.2116 19.7257 6.7583 30.8949 0.9394 18.6931 -1.844 -19.7204 7.3685 -20.6255
sub-057 35.4568 56.7619 18.7476 24.5554 -44.9442 -1.1866 6.0405 -36.6911 54.0658 -34.1179 -1.6459 11.5302 99.5869 70.6194 20.8836 -57.4377
sub-058 -5.8955 -100.929 -47.9869 18.2308 -76.3773 2.439 -4.9784 -16.6475 0.5889 27.6508 -13.051 -4.7995 -25.6164 -31.4881 -7.6569 -4.1986
sub-060 -17.922 47.8522 -11.4975 4.8081 13.8338 -34.7768 -2.3422 -35.843 -13.3726 23.4316 -20.9872 -8.3997 23.3192 -10.0623 80.5658 40.6363
sub-061 -24.9008 53.6118 -4.0592 -10.4745 -44.2287 49.827 48.2587 -10.4602 54.7552 -9.5415 -81.0649 44.8631 -20.3681 -1.5497 -26.2795 22.601
sub-062 -17.1446 -43.8143 110.2383 -39.9208 27.3695 60.1894 3.1443 21.4654 57.8626 -62.6372 44.5675 -3.8197 -17.9813 73.0157 57.8964 -22.0615
sub-062c -44.385 39.8906 22.008 -40.584 -23.6574 -25.4132 2.9798 -7.6327 -3.3303 -30.4318 19.0547 -45.9384 -28.565 -25.7759 34.3251 68.9053
sub-063 34.9204 -140.4579 11.3095 21.6373 55.7122 91.6811 136.4994 3.5765 -3.5989 -153.0851 -13.2199 -61.1827 64.9018 26.5272 -34.6369 164.4086
sub-063c 11.9695 -124.5998 74.3825 21.0405 -18.8222 21.8736 -25.5024 0.3083 40.3591 -23.624 38.8837 43.8752 0.3312 -7.3725 -3.1178 37.3992
sub-064 13.4768 17.1979 -65.3331 39.0691 77.0779 18.0093 -17.0539 2.517 20.541 27.7779 34.7168 58.081 42.3458 -48.1749 -12.7728 48.7002
sub-065 -17.3973 50.1468 7.4879 9.9634 38.3675 42.3935 -35.1059 27.9747 -1.0295 3.4701 -11.4494 46.7553 52.4461 15.8417 -51.765 32.5409
sub-066 -21.0848 61.0318 -6.8547 -11.1209 20.758 1.8039 -14.19 14.4752 6.3513 13.5461 7.0544 8.5336 4.0847 -43.725 -1.07 14.3648
sub-066c 33.7088 -100.1211 -84.5011 40.6958 -41.5842 -21.2698 -30.3997 -18.9597 31.3914 46.1705 -48.6171 4.0135 1.9355 -33.2623 -21.5276 -3.262
sub-067 0.8501 67.7699 -42.6603 -21.8873 -6.3543 -35.6756 -8.5369 22.6324 -41.8041 -4.7725 6.0824 -41.4779 -13.5369 -21.1519 -0.513 61.9213
sub-068c -18.8757 48.5513 -38.8918 25.545 -13.9732 20.4063 9.7233 12.5826 -9.0702 -9.0195 35.7368 -12.3218 -37.8069 -6.1271 59.5813 -17.2588
sub-069c 3.0731 2.6166 -14.9021 33.9513 54.7142 61.1922 -26.9746 46.7629 8.6266 9.5357 13.9042 5.0385 6.0619 24.0785 11.5138 -43.9253
sub-071c -57.6713 -49.5141 143.5641 -113.2412 -20.6278 -53.7142 -32.6024 -28.4535 5.8669 -7.0988 22.7118 -12.833 -32.9111 52.6627 -13.1531 38.8601
sub-073c -12.0606 82.8659 -58.452 -1.8995 -4.5624 29.9531 -21.2593 54.6019 -40.6159 42.5827 22.4704 -49.0905 -35.8536 -21.5736 -0.4421 28.2527
sub-074c -10.5995 -42.2674 58.6443 -24.948 73.5019 -1.6026 -29.9075 18.6484 -15.2456 79.4978 13.4318 13.1182 22.7816 -24.8078 -24.4069 -8.0933
sub-075c -44.8547 2.6634 30.7659 -15.0353 -0.2574 37.3219 -69.3865 37.7556 -24.9685 10.7649 30.7067 22.9886 6.0785 -29.9881 -17.6092 -4.2732
sub-076c 9.3903 -63.7725 -52.5018 34.1386 10.8719 -6.9069 -7.0208 -28.6218 -3.0422 3.9754 25.1936 2.6806 -8.2759 -7.2846 43.3046 -18.1606
sub-081c 12.3475 -82.7136 -27.554 45.2449 19.2084 4.3253 39.4747 8.2129 25.1746 103.7963 36.188 48.9553 40.8456 -3.1458 -22.5986 9.874
sub-082c -20.6561 48.7571 -41.7167 -6.2546 -7.6802 -5.5535 15.1655 5.2702 17.5892 10.2903 -87.2107 -26.1458 -42.2113 -7.0131 6.3624 16.9071
sub-083c 14.8821 42.4692 29.3202 -43.0943 -22.1313 -69.1977 84.7732 -36.0409 21.3253 66.2539 -71.7166 -53.8875 17.477 40.0581 -15.7698 -17.2481
sub-084c -21.3432 76.064 -61.3413 -9.2055 -29.1357 -2.8156 47.0767 -22.9023 -21.6942 7.372 6.1687 -24.0354 -57.8634 39.8328 51.0461 -32.3062
sub-085c -61.1699 18.8715 -0.1419 -0.2222 -88.3203 92.1077 -34.2425 23.3283 -56.0725 -6.6668 -19.3785 26.2872 -17.1921 -57.7247 -102.7476 6.8593
